release_path,unit_id,source_package_path,sha256,bytes
code/docs/adr/0043-pbmc-s7-calibration-policy-analysis.md,pbmc_parameter_and_calibration,code/docs/adr/0043-pbmc-s7-calibration-policy-analysis.md,917e42d21ce22ec861e10898c9374cf974efb8bd4c16ec3d1cafd19568059023,1684
code/environment/pyproject.toml,pbmc_matchability_attribution,code/environment/pyproject.toml,43ad9a8bd4077717090c9575a10c9c4ada949dfc61beed6c74209a31c5935231,1434
code/environment/uv.lock,pbmc_matchability_attribution,code/environment/uv.lock,c799817b17d547945c7ab2d8870e968df564901a905d8c1fa5d780ee0c23d757,408819
code/experiments/component_ablation_surfaces.py,hiha_compatibility_sensitivity,code/experiments/component_ablation_surfaces.py,2996bbebb4e2c0c422608284cebb0ba13314d22cdb899a727a5898b1be75f3d8,30143
code/experiments/generate_manuscript_convergence_audit.py,convergence_and_environment,code/experiments/generate_manuscript_convergence_audit.py,00e3618c5dae4bd9d042e9e402ee28854ce5fd766e056ebb9debcf9b7886fcc2,39395
code/experiments/missing_celltype/build_hiha_submission_staging.py,hiha_primary,code/experiments/missing_celltype/build_hiha_submission_staging.py,9a719cf80d6f95ff19a014c44456a437e4a8732f60964dbe7e2a487e94b3a044,24292
code/experiments/missing_celltype/generate_grid_configs.py,hiha_primary,code/experiments/missing_celltype/generate_grid_configs.py,0335d9d15d8196fab76cf7102c7ea9fe7ce1fb45a6f61b9dcec3e22833ea7686,7738
code/experiments/missing_celltype/generate_hiha_dc_compare_baselines.py,hiha_primary,code/experiments/missing_celltype/generate_hiha_dc_compare_baselines.py,fd81b2a04feb6f6aadc8b80be228fdaa5b07e8964a6c7be0bff577e8f56ef146,2434
code/experiments/missing_celltype/generate_hiha_dc_experiment_overview.py,hiha_primary,code/experiments/missing_celltype/generate_hiha_dc_experiment_overview.py,2fe897fc983f3f6ae08700ece2f9507f9f265925266f2d1b61f9076fdead0ad5,1308
code/experiments/missing_celltype/generate_hiha_dc_figure2_panels.py,hiha_primary,code/experiments/missing_celltype/generate_hiha_dc_figure2_panels.py,dcc121eb845e6253f664746a39d1d0a57bd75e6acaba533e58acd0a64aa5b305,3645
code/experiments/missing_celltype/generate_hiha_dc_parameter_sensitivity_figure.py,hiha_parameter_and_calibration,code/experiments/missing_celltype/generate_hiha_dc_parameter_sensitivity_figure.py,d20249fde0b93b5ea80b14343434156958e1308e23fbd08aaa2c0ed1c145a25c,1019
code/experiments/missing_celltype/generate_hiha_dc_reformulation.py,hiha_primary,code/experiments/missing_celltype/generate_hiha_dc_reformulation.py,b90feb0b9aa21d219990f6f7ca5083362ae73e6afadd62064cfe50cdeb2637e4,1185
code/experiments/missing_celltype/generate_hiha_dc_report_leave_one_configs.py,hiha_primary,code/experiments/missing_celltype/generate_hiha_dc_report_leave_one_configs.py,2c9cae516659a6b1bf54247c87bc0ea7525e3d1e20a5fda7a2d0f53e98fe994a,6507
