release_path,original_sha256,sanitized_sha256,replacement_count,transformation
units/hiha_matchability_attribution/manifests/alpha0_focused025_125_result.yaml,0a96dc2e4051794775bbeb475d2585e96e4a01ea7ac98b9c86bcf09c20ff5fc7,c9cfd4f466033eed2e037e740b58ee386ba65b37c7998bdfdef51d7416b0e87a,4,repository root -> <repository-root>; user home -> <user-home>
units/hiha_primary/configs/report_leave_one_HIHA_DC_external_baselines/_failures.jsonl,af0c61cd364780bb0dd4eec0149c88489c646b3f9e6302f5ef7c977fd60bc80f,979e412a32548484d0242eac44ab10fcdd04f402796e831dae23e3395f6762d1,1,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_compatibility_sensitivity/audits/baseline_resource_audit/compare_baselines_by_method.csv,177cbf29b65a557fef029b6a13f80b61f93a5e21ec6f4dac60c7a2d45f02e63b,ffd43c747b658e43bd76876b07b32a1458ce741c3fcd1eb09e1743ea13201c30,11,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_matchability_attribution/audits/baseline_resource_audit/compare_baselines_by_method.csv,177cbf29b65a557fef029b6a13f80b61f93a5e21ec6f4dac60c7a2d45f02e63b,ffd43c747b658e43bd76876b07b32a1458ce741c3fcd1eb09e1743ea13201c30,11,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_matchability_attribution/verified_results/current_revalidation/project/results/PBMC/sensitivity/rho_attribution_alpha_search/manifest.yaml,fd16c49fa30f41eb2c1a041f5a2bbb932553d338e9cfacdb5d36b0451f97fa4f,0513a3e53cc3c387d27dbd2ee911cf935d6195bbdc1f3dc6858d153e652f3ba6,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_matchability_attribution/verified_results/current_revalidation/project/results/PBMC/sensitivity/rho_attribution_tau_surface_alpha0_range075_175/manifest.yaml,77aa30494598b4fc809f0c0c4d11b0197424136aae2c7c9fdf6fa4584cc2fd99,1ebf5972f1660ceec5f19323c57b6ab1c17e083398e12af4ca75ed3b62c897fa,1,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_matched_reference/audits/baseline_resource_audit.csv,177cbf29b65a557fef029b6a13f80b61f93a5e21ec6f4dac60c7a2d45f02e63b,ffd43c747b658e43bd76876b07b32a1458ce741c3fcd1eb09e1743ea13201c30,11,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/audits/baseline_resource_audit/compare_baselines_by_method.csv,177cbf29b65a557fef029b6a13f80b61f93a5e21ec6f4dac60c7a2d45f02e63b,ffd43c747b658e43bd76876b07b32a1458ce741c3fcd1eb09e1743ea13201c30,11,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed1_taumin0p5_taumax1_alpha4_coreot_full/derived/full_reference_control/derivation_manifest.yaml,c008ca4cfbe0859e0b579cb73a7a90a94d7879ecb7982f1147b54e89828dbae0,f091fd407336e2a7fc27a893c8a1982befcf6bddbfb7de83abe3771c7310428f,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed1_taumin0p5_taumax1_alpha4_coreot_full/derived/full_reference_control/prior_profiles/default/prior_manifest.yaml,6ab64f22972973ef54dffbcc361e503272efe38f24e486ad50213edc476a1173,6e5661a741b9a64d0d36c7e1d874940469b0b9cd0a57e574273c1b66c4cbc248,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed1_taumin0p5_taumax1_alpha4_coreot_full/derived/incomplete_reference/derivation_manifest.yaml,1930684e1ffb8ced1ce4f93b874677f4da04220290e06bcfe03d8bd8696fd98d,711d9ff040b77f1dc582b007eb6787c5aed09c31fe345d346019bbe3db407ad1,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed1_taumin0p5_taumax1_alpha4_coreot_full/derived/incomplete_reference/prior_profiles/default/prior_manifest.yaml,f9ff4e18892ef8307cd3e46797ad7dec811fc66387311be9968400013fe9b10e,88554823b84f161372a6d7ba70b334279dd1757bf3deb0ada456c8d61295dac8,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed2_taumin0p5_taumax1_alpha4_coreot_full/derived/full_reference_control/derivation_manifest.yaml,0cf8b23caf6137c360b6f5050283a78c135ae8e9b69ca2a4f0b74c932647f44b,0238cc27dbe790c2a124970d55abdd206ad55aa27a1672796edf878c19c8430f,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed2_taumin0p5_taumax1_alpha4_coreot_full/derived/full_reference_control/prior_profiles/default/prior_manifest.yaml,4222d40812cc4351c128a36cd6a48f77957155088fff9d30fc3a537847d2789e,9b551832c10f71acfc2cc311b165ebf44370264f51a8431fecdeb15507178cdb,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed2_taumin0p5_taumax1_alpha4_coreot_full/derived/incomplete_reference/derivation_manifest.yaml,e5f73bfb6a8c5313efbf2103bc5e5031d55a9346699795e7e8b889265ca77a49,cd10e4b851e7598afb8573986b4da8ac0a057b289278e3f1fdb7a5babe26e8e9,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed2_taumin0p5_taumax1_alpha4_coreot_full/derived/incomplete_reference/prior_profiles/default/prior_manifest.yaml,84de5fa1be6275109bb1ff853bf28f2ae60425497728d330ca31b19c3386a1a1,ef9afc204fb83744166327a5b88137b988599eafb2047b6e33e137e3019de6d0,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed3_taumin0p5_taumax1_alpha4_coreot_full/derived/full_reference_control/derivation_manifest.yaml,244a7572f855a6fe0d9a08e8c0b5d4d26469d6075e8b19ae72707d0670babdb1,8e0cc44b41cbff11385bef6edc7264d623ff787ac07798991a18305c3978c80e,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed3_taumin0p5_taumax1_alpha4_coreot_full/derived/full_reference_control/prior_profiles/default/prior_manifest.yaml,a924afad296e16a9314dd0ff507ee82c41c17cfc769f5be5662e2600dccbfe6f,70a9668406675f1076a7f1b4f1d61cb038c09651010a5df66b98c8712cfe4d59,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed3_taumin0p5_taumax1_alpha4_coreot_full/derived/incomplete_reference/derivation_manifest.yaml,df3302656981953d0f05ad5c39c63d2e913d96635444c9900a866d9cc57ca310,e09fb51cb2846ee1fadb51230cf929ce6d4ecd5cd1c5f1459f2253b732403510,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed3_taumin0p5_taumax1_alpha4_coreot_full/derived/incomplete_reference/prior_profiles/default/prior_manifest.yaml,c791bee0ba82df8f4f449ac2d92e95cf3b8c4f9e93899486db70d6d37f8a1e0a,90cfd952b9190fd1359c63bdab5046f296decdd983a7f097ca5c6e72a4c49f5b,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed4_taumin0p5_taumax1_alpha4_coreot_full/derived/full_reference_control/derivation_manifest.yaml,d87758b3456a74a7f8aacc24c2bd69be4bc2d842b32a33772a6bd6842b1883a0,b7a9e4afa1afc34d518279f9d7856f1cdb7eeb0df610d10158c14386b66878b1,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed4_taumin0p5_taumax1_alpha4_coreot_full/derived/full_reference_control/prior_profiles/default/prior_manifest.yaml,688b9abd9bc970eb4a393198ce779e8a4bed4e6f410a95b6d4d20eff42368395,a5a15533311fe3d46f05ecfa7fe55bdb07ef936cda31cced347130759dbb5fe2,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed4_taumin0p5_taumax1_alpha4_coreot_full/derived/incomplete_reference/derivation_manifest.yaml,b15188b0ab16f143e6162ee1be9f9261772968d240a87c7e5ca419cec219fbe4,370ed4393f990c450aa32d6237628115a9bf75d18685d07f3b19ed09511b20e5,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed4_taumin0p5_taumax1_alpha4_coreot_full/derived/incomplete_reference/prior_profiles/default/prior_manifest.yaml,1c6c33c5460ee159a34387d1ec9c3a5e4616d3e923dc53316f15b0a886f0c4d5,b3fa662e499dae64b1c5f9f28184b87b5da3f91934b6ceb3aae27c0b7ebf66cd,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed5_taumin0p5_taumax1_alpha4_coreot_full/derived/full_reference_control/derivation_manifest.yaml,de24a5a70846a33dd3acfd409ead1338af1e2f28c0b7f5167ed15502aeef7fcd,33b2c2746514c475e3ca2890d7806bf9895057b561d09cdad4586b210eed9d82,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed5_taumin0p5_taumax1_alpha4_coreot_full/derived/full_reference_control/prior_profiles/default/prior_manifest.yaml,4351fb658eb8fde9b768ce8dcca7b486fcc71c453c868ccd1d7b14b8b018b851,947fdc247dbe2354119fafdaea40fdade9ff2c0dfe87100d06442f40a01c52e8,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed5_taumin0p5_taumax1_alpha4_coreot_full/derived/incomplete_reference/derivation_manifest.yaml,71f1c381123cefe0167d5ca2803a288c5202e914bfff416d00ec1349f58b2bab,a12d09f561a8ea022bcd856505f23c6d5fac0ec62e0cd32831953f05cc97aaa6,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_b_cells_stim_seed5_taumin0p5_taumax1_alpha4_coreot_full/derived/incomplete_reference/prior_profiles/default/prior_manifest.yaml,ad01ff780dfc9ca1c01df7d3af469a2e1b8d57232f6169da9ed7c3b5af6be915,d9417e7edcf58ca96f2a94360c641619e736e9c7bc1c2a8d4f4e582d5adb8016,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_cd8_t_cells_stim_seed1_taumin0p5_taumax1p5_alpha4_coreot_full/derived/full_reference_control/derivation_manifest.yaml,bff7a836cfa232020a1ea1fc4e37205716397cf4000b03f9b26f4a240479cc6d,3c2edd3293e32c8dbae2c9ed12378601c0a7c2ccd9f338baced95bd2101a4d37,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_cd8_t_cells_stim_seed1_taumin0p5_taumax1p5_alpha4_coreot_full/derived/full_reference_control/prior_profiles/default/prior_manifest.yaml,f422eafb470f008aa174dca862af5ca7a133cfeac624c14b31dd79746ea01218,90c5f395c277f64543ae00f107e2d3b30918f65bbd583e7a016aab89e8235bde,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_cd8_t_cells_stim_seed1_taumin0p5_taumax1p5_alpha4_coreot_full/derived/incomplete_reference/derivation_manifest.yaml,13d6ea52167715fc34799f35d70db45972949e87f9a04d6f10343a3524b87b9e,a6fc43d49e8e2fdf5b88a639dbd193817044ff6a6114831848928c30d41c6f65,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_cd8_t_cells_stim_seed1_taumin0p5_taumax1p5_alpha4_coreot_full/derived/incomplete_reference/prior_profiles/default/prior_manifest.yaml,c8de5f719c9fc2ac506ef9f5baf51c2e16683b98c4bf15a158147f4798fe5207,014c09ca5553f3fadfbc80585e4d50f7fcc8aa514dab957ee8cff9081e1e0186,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_cd8_t_cells_stim_seed2_taumin0p5_taumax1p5_alpha4_coreot_full/derived/full_reference_control/derivation_manifest.yaml,8b32bd2da76ebd8128fdf40b7990670caa88cbe40548e30b26616f798b4420e0,4df54b5c87a7c95df1683912bf0561b5d0407a99d8c7d172cdc672d99eed250d,3,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_cd8_t_cells_stim_seed2_taumin0p5_taumax1p5_alpha4_coreot_full/derived/full_reference_control/prior_profiles/default/prior_manifest.yaml,ea8d30c43cb95bccddc828a4c22436cbc32fa10bd362b6983a807735be29a281,95d9af64f50e42a5104c3a3679909c73fdd137b8111320ffb4433c85f577b4a7,2,repository root -> <repository-root>; user home -> <user-home>
units/pbmc_primary/run_evidence/pbmc_ifnb_cd8_t_cells_stim_seed2_taumin0p5_taumax1p5_alpha4_coreot_full/derived/incomplete_reference/derivation_manifest.yaml,a3adff98c923527297e3aea13952a499303c24da8c7b8ec0f8b9e91ad70a8ebe,fb5cd956102a3285df252e3bcff5febbe4a992e45d015589f937c22d2dc4e4ab,3,repository root -> <repository-root>; user home -> <user-home>
